sysTime 	ACTION 	ChannelUsed 	TransJob 	CPU 	RunningJob 	ActionQos 
520	11	-3.552713678800501e-15	0	0.4	4	2697.075127306469
530	11	-3.552713678800501e-15	0	0.4	4	1011.4031727399258
540	11	-3.552713678800501e-15	0	0.4	4	1011.4031727399258
550	11	39.45516087506906	3	0.4	4	1011.4031727399258
560	11	13.151720291689685	1	0.5	5	1011.4031727399258
570	11	-3.552713678800501e-15	0	0.6	6	1011.4031727399258
580	11	-3.552713678800501e-15	0	0.6	6	1391.5260936158868
590	11	-3.552713678800501e-15	0	0.5	5	13485.375636532344
600	11	39.45516087506906	3	0.30000000000000004	3	2783.0521872317736
610	11	13.151720291689685	1	0.30000000000000004	3	695.7630468079434
620	11	-3.552713678800501e-15	0	0.4	4	695.7630468079434
630	11	-3.552713678800501e-15	0	0.5	5	695.7630468079434
640	11	-3.552713678800501e-15	0	0.4	4	13915.260936158867
650	11	39.45516087506906	3	0.30000000000000004	3	3478.815234039717
660	11	13.151720291689685	1	0.30000000000000004	3	10436.44570211915
670	11	-3.552713678800501e-15	0	0.30000000000000004	3	1043.644570211915
680	11	-3.552713678800501e-15	0	0.20000000000000004	2	1391.5260936158868
690	11	-3.552713678800501e-15	0	0.20000000000000004	2	1391.5260936158868
700	11	39.45516087506906	3	0.20000000000000004	2	1391.5260936158868
710	11	13.151720291689685	1	0.20000000000000004	2	695.7630468079434
720	11	-3.552713678800501e-15	0	0.30000000000000004	3	695.7630468079434
730	11	-3.552713678800501e-15	0	0.30000000000000004	3	1391.5260936158868
740	11	-3.552713678800501e-15	0	0.30000000000000004	3	1391.5260936158868
750	11	39.45516087506906	3	0.20000000000000004	2	3478.815234039717
760	11	13.151720291689685	1	0.20000000000000004	2	10436.44570211915
770	11	-3.552713678800501e-15	0	0.20000000000000004	2	1043.644570211915
780	11	-3.552713678800501e-15	0	0.20000000000000004	2	1391.5260936158868
790	11	-3.552713678800501e-15	0	0.20000000000000004	2	1391.5260936158868
800	22	39.45516087506906	3	0.10000000000000003	1	3478.815234039717
810	22	26.303440583379373	2	0.10000000000000003	1	695.7630468079434
820	22	13.151720291689685	1	0.20000000000000004	2	695.7630468079434
830	22	-3.552713678800501e-15	0	0.30000000000000004	3	695.7630468079434
840	22	-3.552713678800501e-15	0	0.10000000000000003	1	139.15260936158867
850	15	44.4784842672896	4	0.10000000000000003	1	139.15260936158867
860	15	33.3588632004672	3	0.10000000000000003	1	2783.0521872317736
870	15	11.119621066822397	1	0.20000000000000004	2	2783.0521872317736
880	15	-3.552713678800501e-15	0	0.30000000000000004	3	2783.0521872317736
890	15	-3.552713678800501e-15	0	0.4	4	2783.0521872317736
900	15	44.4784842672896	4	0.30000000000000004	3	1348.5375636532344
910	15	33.3588632004672	3	0.30000000000000004	3	337.1343909133086
920	15	11.119621066822397	1	0.30000000000000004	3	2022.806345479851
930	15	-3.552713678800501e-15	0	0.4	4	2022.806345479851
940	15	-3.552713678800501e-15	0	0.5	5	2022.806345479851
950	11	39.45516087506906	3	0.4	4	1348.537563653234
960	11	13.151720291689685	1	0.5	5	1348.537563653234
970	11	-3.552713678800501e-15	0	0.6	6	1348.537563653234
980	11	-3.552713678800501e-15	0	0.7	7	1348.537563653234
990	11	-3.552713678800501e-15	0	0.5	5	1348.5375636532344
1000	11	39.45516087506906	3	0.5	5	1348.5375636532344
1010	11	13.151720291689685	1	0.4	4	695.7630468079434
1020	11	-3.552713678800501e-15	0	0.4	4	5394.150254612938
1030	11	-3.552713678800501e-15	0	0.5	5	5394.150254612938
1040	11	-3.552713678800501e-15	0	0.5	5	5394.150254612938
1050	11	39.45516087506906	3	0.4	4	5566.104374463547
1060	11	13.151720291689685	1	0.5	5	5566.104374463547
1070	11	-3.552713678800501e-15	0	0.6	6	5566.104374463547
1080	11	-3.552713678800501e-15	0	0.6	6	1391.5260936158868
1090	11	-3.552713678800501e-15	0	0.5	5	13915.260936158867
1100	27	44.4784842672896	4	0.30000000000000004	3	347.8815234039717
1110	27	33.3588632004672	3	0.30000000000000004	3	10436.44570211915
1120	27	22.239242133644797	2	0.4	4	10436.44570211915
1130	27	-3.552713678800501e-15	0	0.4	4	6957.630468079434
1140	27	-3.552713678800501e-15	0	0.4	4	404.5612690959702
1150	2	20.751874963942182	1	0.30000000000000004	3	5566.104374463547
1160	2	-3.552713678800501e-15	0	0.30000000000000004	3	337.1343909133086
1170	2	-3.552713678800501e-15	0	0.20000000000000004	2	2697.075127306469
1180	2	-3.552713678800501e-15	0	0.10000000000000003	1	6742.687818266172
1190	2	-3.552713678800501e-15	0	0.10000000000000003	1	6742.687818266172
1200	20	32.19280948873623	2	0.10000000000000003	1	6742.687818266172
1210	20	32.19280948873623	2	0.10000000000000003	1	6742.687818266172
1220	20	-7.105427357601002e-15	0	0.20000000000000004	2	6742.687818266172
1230	20	-7.105427357601002e-15	0	0.20000000000000004	2	287.4790490298214
